;link;title;description;category;transcriptions
265;1TiV9jFxo_;Tutoriel: Comment dessiner un personnage inventé ?;"Ca y est on démarre une nouvelle série de tutoriels pour apprendre à dessiner des personnages inventés!

Dans l'ordre on verra:
La tête, les yeux, la bouche, le nez, les expressions du visage, le corps, les mains, les pieds, et les mouvements.
_________________________
Clique ici pour t'abonner►
 FACEBOOK:  
 TWITTER: 
INSTAGRAM: ";tutoriel; 
266;UFb7ZOfZLek;"[TUTORIEL] Présentation du logiciel ""HandBrake"" - Configuration du meilleur rendu possible !";"•••► Hey mes Kiri's ! :D ◄•••

On ce retrouve aujourd'hui pour un petit tutoriel sur le logiciel de compression de vidéo nommé ""HandBrake"", j'espère que vous apprécierez ! :D

Lien HandBrake : 

~~~~~~~~~~~~~~~~~~~~~~~~~~

Abonnez-vous, commentez, likez & partagez ! ♥

► Mon Skype: rikiteur72
► Mon Email: rikiteurgaming@gmail.com
► Mon twitter: 
► Mon pseudo Minecraft.net: RikiOfficiel
► Le site de mon projet Minecraft:  *
► Le Twitter officiel de mon projet Minecraft:  *

* : Projet de serveur Minecraft DayZ sous launcher !

~~~~~~~~~~~~~~~~~~~~~~~~~~

Cordialement,
--
Samuel G. alias Riki, le tigre bleu ♥";tutoriel;  colloque est bien celle de tous et toutes ses rides ou qu'on se retrouve aujourd'hui pour une nouvelle vidéo tutoriel sur le logiciel en vertu du mandingue les abonnés dans la dernière vidéo john o'shea langue grecque qu'est ce que c'est c'est un outil qui permet deux points précis vous fichiers vidéo il est maître en format mp4 sol du congo par exemple si vous enregistrez avec actions oca notation et donc aux besoins des fichiers à vue et quand on les compressions avec ce logiciel et non ils seront beaucoup moins heureux passés de 100 giga ça continue comme ça c'est vraiment une arme dont on va commencer tout d'avoir vous ajoutez une source en groupe b des ressources open acide alpha vous choisissez de cuisine c'est en vidéo par l'escaladé non j'ai pas le faire dans la vidéo je peux le processus pour autant on se fit dans le destination incivilités file vous sied si vous voulez que vidéo ce said fois la compression cela moi je vais sur sur le bio avant même de savoir si en pet ont enregistré une progression de 4 heures barras juste un bug mais vous vous enfoncez normalement on sur thébaux pictures ici même et elaine murphy condom et vous décochez aussi apprécié la ficr child en vidéo ont été constantes frat-mat dans l'optimisme vidéo ici et que le petit truc ce point est gros plus il invite les plus ça sera compressé et moi c'est rabbit mon avis est compressé rodez sans quoi et donc ma seule ville bat plus fins du coût est plus élevé plus la qualité ça qu on pressera pas beaucoup la vidéo en groupe ionis plus et l'on est au plus bas la vidéo sera compressé moi que chez franco moi je m'en mondiale comme ça sans trois les deux dans le ici avant le h 264 profil de l'écart entre haïti et le h264 nouvelle n'est pas en quatre points ensuite accueilli thyn voon était conscient qu'un outil est noté sur 21 22 23 tant que 57 21 s'y prend pour la qualité de la vidéo moi je me rends pas comme ça c'est le prof ligue 1 est donc parfait aux deux chiens subtil vraiment chiant c'est tout ce que vous avez à faire ce signe que ça donc fait had vous mettez le nom de votre prince est jeté et voilà votre pressé d'être ici il est prêt à être utilisé comme moi j'arrivais déjà exactement nef s'est pas spécialement produit 720p une grosse poule promet une qualité et donc vers les gens s'étaient 2.5 vidéo j'espère c'est d'en savoir plus et est très rapide et très simple à faire n'hésitez pas à cliquer ici ça vous a plu à commenter si vous saviez pas certaines choses une option je vous dis à personne pour une prochaine vidéo pis
267;GG_baGRa_J;Tutoriel: qu'est ce qu'une carte mentale?;Vidéo de présentation d'une façon d'organiser ses idées: la carte mentale. A vous d'imaginer dans quel cas il peut être utile de réaliser une carte mentale.;tutoriel; 
268;i-D_HwYhytA;Tutoriel Plongée UCPA N°10 : Comment assister son binôme;"Tous les séjours plongée à l'UCPA : http://bit.ly/UCPA-Plongée

Facebook : https://facebook.com/UCPAvacances
Twitter : 
Instagram : 

Dans le cadre de ta future autonomie en plongée, nous allons te donner les moyens de réussir l'assistance de ton binôme en toute sécurité jusqu'à la surface.";tutoriel;  bonjour dans le cas de ta future autonomie en plongée nous allons tout donner les moyens de réussir l'assistance de ton binôme en toute sécurité jusqu'à la surface avant chaque immersion observe le gilet tombe nomme et repère à l'avance la position de ces purges il va te faire un signe pour te montrer qu'il a besoin d'assistance avec ta main droite tu devras gonfler son gilet pour amorcer la remontée avec ta main gauche tu devras le tenir et ne plus le lâcher répond lui que tu as compris et que vous allez remonter ensemble gonfle son gilet en premier avec ta main libre puis purger alternativement son gilet est le tien maintenant on peut aller dans l'eau la remontée des buts sur le signe de son binôme va vers lui rassure le gonfle son gilet jusqu'à ce qu'ils se positionnent en face de toi prends une inspiration saisi sa sangle et commencer à remonter regarde autour de toi que rien ne peut gêner votre remontée reste bien face à lui et yeux au même niveau pour qu'ils se sentent en confiance si tu ne décolle pas assez vite n'hésite pas à donner un coup de palme pour t d en vérifier la vitesse de remontée regarde ton ordinateur et les bulles lorsque la vitesse augmente commence par expiré pour ralentir et ensuite tu pourra purger son gilet en premier reste mesuré dans ses actions car il ya toujours un temps de décalage entre le dégonflage du gilet et le ralentissement de la remontée vérifie que son binôme va mieux et purge ton gilet pour rester à la même hauteur que lui contrôler la profondeur sur ton ordinateur et vérifient que tu as proche de la surface quelques astuces pour aider à gérer cette assistance pour savoir quel gilles évident et surveille le déséquilibre si tu pars sur le dos vide le gilet de tomber nomme si celle inverse intervient sur le tien ne laisse pas tomber nomme se pencher du côté droit sinon lherm pourra plus sortir du gilet par la purge si tu sens que tu dépasses la vitesse de remontée commence par souffler avant d'agir pour vider l'un d'eux de gilets avant de percer la surface fait un tour d'horizon pour sortir en sécurité s'ils tombent nomme un problème d'arrivée d'air vous pouvez gérer cette situation est remonté à la surface dégage rapidement tourner octopus est présenté avec la main droite puis poursuite à remonter sans lâcher le gilet ta main gauche une fois en surface prévient le bateau pour qu'ils viennent vous récupérez c'est pourquoi il est important avant de partir plongé de vérifier avec ton binôme le matériel et les pressions des bouteilles qui peut noter qu'une planification efficace de la plongée ainsi qu'une surveillance mutuelle de ton binôme en surface et sous l'eau sont les garants de votre sécurité profite de ses conseils écoute les recommandations de temps moniteur fait attention à ta sécurité et à celle des plongeurs de ta palanquée force à protéger l'environnement sous-marin est bonne plongée
269;69FnvzJEkg;Tutoriel 6, technique 1 : Les noeuds - Balloon Knots - Los nudos;"Tuto complet en français : https://www.mossieur-ballon.com/fr/tu...
Complete tutorial in English: https://www.mossieur-ballon.com/tutor...
Tutorial completo en español: https://www.mossieur-ballon.com/es/tu...

*** *** ***
Crédit musicaux : 
Sous Licence CC BY 3.0

*** *** ***
Initiation à la sculpture sur ballon 6 - Technique 1 : Les nœuds

L'ambition de cette série de tutoriels étant d'apprendre à sculpter les ballons aux parfaits débutants, j'ai remarqué qu'au départ, un certain nombre d'entre vous, enfants ou adultes, aviez du mal à effectuer des nœuds de ballon.

La technique utilisée dans ce tutoriel permet d'éviter toute friction du ballon contre la peau des doigts. C'est un petit détail anodin mais qui prend toute sa signification lorsqu'on effectue des centaines de nœuds à la suite. Et c'est ce qui vous arrivera dès que votre notoriété de sculpteur sur ballon dépassera le cadre de votre famille, de votre quartier ou même de votre région. C'est pourquoi vous devez prendre de bonnes habitudes dès le départ. 

Essayez lentement et régulièrement jusqu'à ce que vous puissiez parfaitement imprimer cette séquence de mouvements dans votre mémoire gestuelle et l'effectuer rapidement sans même y réfléchir.

Allez, amusez-vous bien... et entraînez-vous régulièrement !

**********
Balloon Twisting From Scratch 6 - Skill 1: Knots 

This is a very basic tutorial about making balloon knots which some (very) beginners might find challenging. But that is after all the ambition of this channel, how-to learn balloon twisting from scratch.

*** *** *** 
Iniciación a la globoflexia 6: Técnica 1: Los nudos

Eso es un tutorial básico para enseñar los nudos de globo que algunos novatos encuentran difícil en hacer. Pero, después de todo, es el objetivo de este canal, aprender la globoflexia desde cero.";tutoriel; 
270;994PgQCy9P8;Tutoriel Phylogène;Tutoriel de l'utilisation du logiciel phylogène pour les collégiens et lycéens;tutoriel;  après avoir lancé le logiciel philogène sélectionner la collection qui nous intéresse ici unités du vivant au lycée puis cliquez sur ok l'ensemble des espèces s'affiche devant nous nous allons construire une matrice de caractère pour cela cliquez sur l'icône construire une matrice en bas apparaissent les différentes espèces est au dessus les différents caractères pour l'exemple nous souhaitons travailler sur arabidopsis drosophiles et gorilles ils apparaissent ainsi en colonne pour les caractères nous souhaitons travailler sur cellules chlorophylle et enveloppes nucléaire pour remplir le tableau il suffit de cliquer sur les cases et de choisir l'état du caractère une aide apparaît en bas à droite de l'écran vous pouvez vérifier votre tableau en cliquant sur vérifier les erreurs apparaissent encadré en rouge corriger vos erreurs puis vérifier à nouveau une fois votre tableau juif tu on va maintenant classé notre tableau cliquer sur l'icône classée en jaune apparaissent les innovations évolutive nous allons maintenant organiser le tableau cliquer sur organisée puis cliquez sur les caractères il est rangé du maximum au minimum d'innovation évolutif commune nous allons maintenant créneau groupe en boîte et pour cela cliquez sur chargé le tableau puis cliquez sur les caractères de façon à faire apparaître les boîtes il faut désormais comparer les boîtes obtenus et les faire glisser les unes dans les autres vous remarquerez que chaque espèce n'apparaît qu'une seule fois dans les groupes en boîte et nous allons passer à la construction de l'arbre phylogénétique pour cela cliquez sur établir des parentés cliquer sur oui pour conserver votre travail cliquez sur chargé le tableau pour pouvoir cliquer sur les caractères et faire réapparaître nos groupes en boîte et l'arbre apparaît à droite de l'écran maintenant faire apparaître les boîtes et les taxes sont sur l'arbre pour cela cliquez sur choix et sélectionnez afficher les boîtes de l'arbre sélectionnez ensuite afficher les noms de groupes on peut ensuite renommée les groupes en double cliquant ici dans la fenêtre sélectionné nommer les groupes puis choisir le nouveau nom dans la liste proposée comme il n'est pas possible sur philogène d'ajouter les caractères sur la boue nous allons copier et le traiter avec un autre logiciel pour cela cliquez donc ici sélectionné copier la tels que est ok on va ensuite ajouter les caractères donc pour cela ouvrez un document word et kolélas à l'aide du clic droit de votre souris on va maintenant ajouter les caractères donc pour cela dans l'insertion cliquez sur forme et sélectionnez le trait continu vous pouvez épaissir le trait en sélectionnant content de forme épaisseur et prendre une taille un petit peu plus importante il ne nous reste plus qu'à insérer une zone de texte dans insertion et à saisir le nom du caractère que l'on veut ajouter vous pouvez à présent enregistré votre travail l imprimé
271;K4H-v70_-Q4;tutoriel avimeca;;tutoriel;  alors voilà donc un tutoriel pour apprendre à utiliser viehbacher on ouvre un métier d'abord ensuite on va les chercher la vidéo qui nous intéresse ici c'est une chute verticale qui nous intéresse une fois celle ci ouverte on va devoir commencer à renseigner le logiciel pour cela il ya un onglet qui s'appelle étalonnage ou une demande deux choses régler la taille et placer des axes pour placer les axes on va se mettre la dernière image on voit la trace de la balle ont placé sachs en bas de la trace de la balle donc on axe horizontal et vertical et maintenant on va régler l'étalonnage pour lui indiquer détails mais l'appui en clic on met que c'est un maître qui nous intéresse on va placer deux points le point p 1 puis le point de p2 une fois ceci fait logiciel est prêt on peut maintenant s'en servir donc on retourne dans mesure les ied indiqué les instants les images on se remet la première image et on clique toutes les positions la balle car si possible le bas de la balle et si possible on reste aussi sur l' axe se débarrasser comme ça de l'abc ce conflit comme ça toutes les positions de laval c'est plus difficile sur la fin parce que c'est une trace dans la position de correspondre aux ex maintenant cliquer toutes les balles et positionné balle donc on a des positions non maintenant on va exporter nos mesures on va choisir un tableur ou choisi excellent et bilan cliquez ici bien vos valeurs sont maintenant sur excel 6 ou qui est sur le bouton tab on confirme ici alors si on réduit cette image on va pouvoir observer toutes les mesures cette fois ci dans la tableau avec un peu de temps ici alors qu'on a tout de mesures on peut se débarrasser de la colonne des x qui me servent
272;dkkq2c6mtyY;;"Toutes les techniques de la méthode Wim Hof,  décortiquées et détaillées par l'un des rares instructeurs français de la méthode: Jean-François Tual, fondateur d'Icemind

Dans ce deuxième tutoriel de la série: Le point de rétention.

--

Veillez toujours à pratiquer ces techniques de respiration Wim Hof dans un environnement sans risque. Ces protocoles ont de profonds effets physiologiques, et ne peuvent être pratiqués que dans un contexte où perdre conscience ne vous mettrait pas en danger. Autrement dit: pas avant de nager, de conduire, ou de prendre un bain. Et plutôt tranquillement installé à plat dos sur un tapis :)

Vous trouverez plus de précisions sur les mesures de précaution à prendre, et les sensations provoquées par la respiration Wim Hof sur la vidéo développée par l'équipe de la Wim Hof Method: ";tutoriel;  salut la his mind un petit point technique très court aujourd'hui sur un mot magique donc c'est qu'il est au centre du vocabulaire de la respiration wemhoff la rétention qu'est ce que la rétention c'est ce point d'équilibré auquel on arrête de respirer rétention on pourrait le remplacer par point de soulagement point d'équilibré point de confort respiratoire c'est à dire que en fait il s'agit c'est un gros mot pour dire simplement c'est le point où vous bloquez votre respiration parce qu'à cet endroit précis et part à un autre vous êtes parfaitement confortable et en est qu à la même pression à l'intérieur de vos pompes qu'à l'extérieur c'est à dire il n'ya pas trop d'air il n'ya pas passer l'air donc quand on vous dit de la respiration d'inspirer et d'expirer qu'est ce qu'on fait c'est qu'on inspire à fond et on expire jusqu'au point de rétention ces points d'intentions et il est pas là il est pas là regardez ce que je fais j'ai encore beaucoup d'air dans les poumons je pourrais décider de le vider mais c'est pas intéressant parce que ce serait pas le poids de rétention ce serait un point où je manquerais vert et du coup je serai en différentiel de pression par rapport à l'extérieur n'allait pas aussi bas vous verrez des bateaux non plus contentez-vous de façon très simple de vous arrêter à l'endroit où c'est le plus confortable ces points de rétention
273;PSOMMSS1g;Méthode du point de commande et notion de kanban (tutoriel);"Vulgarisation de la méthode de réapprovisionnement à point de commande et kanban.

Visitez mon site http://christian.hohmann.free.fr";tutoriel; 
274;C0HwAis736;Tutoriel Tamashare : logiciel interactif pour ecran tactile;"Cliquez ici pour découvrir davantage d’informations sur les écrans interactifs tactiles SpeechiTouch Pro : https://www.speechi.net/fr/home/ecran...

Dans ce tutoriel Tamashare, nous vous montrons comment utiliser la puissance de l’écran interactif tactile SpeechiTouch Pro dans le cadre d’une annotation de document.

L'objectif est de vous faire découvrir dans un premier temps les manipulations de base sur Tamashare à partir de votre écran interactif.

Comment surligner une partie d’un document ? Comment changer de couleur pour organiser visuellement vos annotations sur votre écran SpeechiTouch Pro dans le cadre d’un travail collaboratif ? Ou encore comment utiliser un marqueur ou même un stylo pour écrire directement sur votre document ?

Ces annotations sont des manipulations de base mais néanmoins nécessaires afin d’appréhender l’immense potentiel de l’écran interactif SpeechiTouch Pro.
  
La suite logicielle collaborative intégrée à l’écran interactif SpeechiTouch Pro et notamment Tamashare, propose un réel espace virtuel afin de faire collaborer en présentiel ou à distance des collaborateurs sur un travail collectif précis.

Retrouvez bientôt de nouveaux tutoriels afin d’exploiter toutes les opportunités que propose Tamashare sur écran interactif tactile dans le cadre d’un travail collaboratif.

Découvrez les solutions interactives et collaboratives Speechi :





Pour vous abonner à la chaîne YouTube de SpeechiTV : 

Speechi : 
Découvrez toutes nos solutions interactives sur notre site: 
Suivez-nous sur YouTube: ";tutoriel; 
275;gWc3klurhr8;Faire un décor qui défile - Tutoriel Scratch;"Comment créer un décor qui défile dans mon jeu Scratch ?

L'intégrale de nos tutoriels : http://magicmakers.fr/tutoriels";tutoriel;  pour mon projet j'aimerais créer un arrière-plan qui déçus tout d'abord je vais commencer par programme et ma flèche droite avec les touches du clavier pour cela je crée une condition si la touche place droite est pressé alors je vais passer aux costumes vivant et me diriger en faisant un angle de 90 degrés ensuite je vais créer une variable d'en donner un grange que je vais appeler défilement si je donne une valeur négative à ma variable défilement le décor va défiler vers la gauche je peut dupliquer mon script est programmée de la même façon la flèche gauche si je donne une valeur positive à ma variable défilement le décor va défiler vers la droite dans ma zone de dessin je vais créer mon décor qui est en fait un mutant et c'est un butin qui va bouger de façon latérale c'est à dire sur les côtés de gauche à droite en retournant dans mon script je vais ensuite définir la position de mou décor pour cela j'utilise ma variable défilement et les commandes de mouvement je peux aussi les combiner avec les opérateurs cela va donner l'impression que mon lutins défilent et donc que les décors et fils ensuite je dis publiquement le temps plusieurs fois et je peux changer à l'aide de la zone de dessins quelques détails dans le décor par exemple ajouter de la couleur des plantes etc à chaque nouveau lutins qui correspond au décor je vais changer l'opérateur gvt est multiplié par 0 par un parent 2 etc si je vais dans le script de montchat je peux voir que j'ai programmé la touche laisse droite pour donner l'impression que mon chat avance je change de costume j'ai également programmé la flèche gauche et si je regarde le résultat cela donne bien l'impression qu'il avance sur un sol qui défilent et je viens de créer ce qui s'appelle un jeu de scrolling
276;dGAJLkrwq8;;"Formation complète : https://bit.ly/2Hyj3Mp

Une amélioration a été apportée au comportement de la projection automatique en esquisse d'Inventor. Cette option offre ainsi un fonctionnement plus intuitif.

Ce tutoriel est un extrait de la formation intitulée « Inventor 2019 : Les nouveautés » , réalisée par le formateur expert Fabian Perrée chez video2brain.com.";tutoriel; 
277;f4WAYAnn24;Installer Python 3.7.0 sur un appareil Android | TUTORIEL;"▬▬ Liens Utiles ▬▬

► QPython (Play Store) : https://bit.ly/2vDjPTO

► 0n9 : 

Windows 10 Pro : 
Code réduction : TIFR22

Office Pro 2016 : 
Code réduction : TIFR10

► Me suivre sur FB : 



Merci d'avoir regardé ce Tutoriel !
----------------------------------------------------
© Tutoriels Informatiques FR - 2018";tutoriel; 
278;ZLyjOjbM1NA;Tutoriel taille-haie n° 7 – Entretenir votre taille-haie;"Découvrez les bons gestes à avoir après l’utilisation de votre taille-haie ou avant le stockage / hivernage de celui-ci.

Retrouvez l’ensemble des conseils d’utilisation d’un taille-haie sur stihl.fr : ";tutoriel; 
279;nnU0K9tQQg8;Tutoriel écran interactif : Comment préparer un cours avec le logiciel pour écran interactif Iolaos;"https://www.speechi.net/fr/home/ecran...
En savoir plus sur les écrans interactifs SpeechiTouch fonctionnant sous Android.

Dans ce tutoriel nous vous expliquons comment préparer un cours ou une présentation avec le logiciel Iolaos ().

Iolaos est un logiciel interactif complet et intuitif destiné aux écrans interactifs SpeechiTouch. Il est parfait pour préparer, animer tous vos cours et réunions avec des présentations interactives.

Les fonctions abordées dans ce tutoriel sont : 
- l'activation du mode Préparation
- la personnalisation de la présentation à l'aide d'un arrière-plan
- l'insertion de texte
- l'insertion d'une image soit stockée sur un ordinateur ou une clé USB, soit récupérée sur le web à l'aide de l'outil impression écran

1. En activant le ""Mode Préparation"" vous avez accès à différentes fonctionnalités qui vous permettent de préparer un cours ou une présentation. 

2. Vous pouvez personnaliser votre présentation à l'aide d'une image mise en arrière-plan. Le logiciel pour écran interactif, Iolaos, met à votre disposition une bibliothèque d'arrière-plans. Ainsi, vous pouvez changer la couleur du fond ou ajouter une image en arrière-plan soit issue de la bibliothèque, soit une image personnelle.

3. Ajoutez un titre à votre présentation avec l'outil ""Texte"" et à l'aide du clavier virtuel. Des boutons de mise en forme (police, taille, gras, italique, souligner, centrer...) similaires à ceux de la suite Microsoft Office sont disponibles. 
Vous pouvez très simplement agrandir et diminuer la taille du texte en un geste à l'aide de vos doigts sur l'écran tactile SpeechiTouch.

4. Ajoutez de nouvelles pages à votre cours en appuyant le bouton ""+"". 

5. Inversez la place des boutons de la barre d'outils en cliquant sur les flèches situées aux extrémités celle-ci.

6. Vous pouvez ajouter des images dans votre présentation à partir d'images stockées sur votre ordinateur, et aussi, si besoin, en récupérant des images directement sur internet à l'aide de l'outil impression écran.

D'autres fonctionnalités du ""Mode Préparation"" sont présentées dans un autre tutoriel ""Le Mode Préparation (2/2) : préparer un cours ou une présentation"".

Découvrez les solutions interactives et collaboratives Speechi :










Pour vous abonner à la chaîne YouTube de SpeechiTV : 

Speechi : 
Découvrez toutes nos solutions interactives sur notre site: 
Suivez-nous sur YouTube: ";tutoriel;"  Bonjour et bienvenue dans le tutoriel Iolaos « Le Mode Préparation », comment préparer un cours ou une présentation. Iolaos est un logiciel interactif, très simple, complet et intuitif, destiné aux écrans interactifs et vidéoprojecteurs interactifs. Dans cette première partie, nous aborderons les fonctions suivantes : Comment activer le mode Préparation. Personnaliser une présentation avec un arrière-plan. Ecrire du texte. Insérer une image soit stockée sur mon ordinateur, ou soit directement sur le web avec l’outil impression écran. Et des astuces. Tout d’abord, nous allons activer le mode ""Préparation"". Donc, je clique sur ""Menu"", ""Mode"" et ""Préparation"". Pour personnaliser une présentation, je clique sur ""Outils"", ""Thème"". Et j’accède à une bibliothèque d’arrière-plans. J'ai la possibilité de changer la couleur du fond, par exemple gris, vert, bleu. Insérer un fond d’écran thématique comme un terrain de football, de badminton, ou un plateau de jeu de backgammon. Ou de choisir un écran orienté ""Education"". Vous avez plusieurs possibilités. Enfin je peux insérer une image de mon choix comme fond d’écran. Je commence par ajouter un titre à ma présentation, je clique sur ""Texte"". Vous pouvez voir que tous les outils de mise en forme sont accessibles ici. J’utilise le clavier virtuel pour écrire mon texte. Ma présentation va porter sur ""La vie et les œuvres de Van Gogh"". J’agrandis mon texte en cliquant sur l’onglet en bas à droite. Je centre mon texte en cliquant ici sur le bouton ""Centrer"". J'ai besoin d'ajouter une page à ma présentation, je clique sur le bouton ""+"" en bas de mon écran. Attention, c’est le moment de vous présenter une petite astuce. En cliquant ici, j’inverse la position des boutons. J’ai besoin d’ajouter des images à ma présentation. Je peux insérer des images stockées sur mon ordinateur en cliquant sur ""Menu"", ""Importer"" et ""Fichier"". Je choisis l’Autoportrait de Van Gogh. Je peux agrandir, diminuer, pivoter et déplacer l’image comme je le souhaite. J’aimerai ajouter une image que je n’ai pas en possession. Pas de problème, je peux en récupérer une sur Internet en cliquant sur le bouton ""Outils"" et ""Internet Explorer"". J’utilise le clavier virtuel. Je recherche la peinture « La nuit étoilée ». Je choisis mon image. Puis je clique sur ""Impression écran"". Cet outil vous permet d’insérer directement l’image dans votre présentation. La première partie de ce tutoriel est terminée. Je vous retrouve pour la suite de ce tutoriel dans une autre vidéo où nous aborderons les thèmes suivants : utiliser l’outil reconnaissance automatique d’écriture, ajouter des animations, insérer une vidéo ou un document PDF, gérer et organiser les pages de ma présentation, et enfin sauvegarder et partager ma présentation. A bientôt."
280;3Alp2H4LDfY;;"TUTORIEL - Réussir en .fr

Être présent en ligne est indispensable pour développer votre activité et vous faire connaître. 85% des Français disposent d’un accès à internet et 74% d’entre eux s’y connectent chaque jour. Découvrez comment créer votre site internet avec Yoann Bourdon de Powebco.";tutoriel; 
281;gvU694cKFYk;Tutoriel : comment monter des chaussettes à neige;"Voici quelques conseils pour monter plus facilement vos chaussettes à neige.
Retrouvez le sujet complet sur www.largus.fr";tutoriel;  bonjour et bienvenue sur l'argus point fr alors aujourd'hui nous allons vous expliquer comment monter des chaussettes à neige et avant les montées il faut les acheter et pour cela il vous faut une information primordiale c'est la dimension de diplomatique est ici c'est du 225 55 et r18 et nous retrouvons la bonne dimension de nos pneus alors les chaussettes sont en principe plus simple à mettre que les que les chaînes mais dans la réalité ce n'est pas toujours le cas parce qu'il faut un petit peu de force pour les enfiler fautes de main ont filé une première moitié derrière après ou enfiler la première la partie haute de la chaussette il faut faire un demi-tour d'euros pour pouvoir mettre l'autre partie après avoir fait notre demi tours de roue il faut habiller le au plus peut on prend ce site ramener la chaussée vers le haut c'est bien ce que je disais en théorie c'est facile dans la pratique ça l'est un peu moins voilà alors je suis content et les positionner comme ça il faut faire à peu près une cinquantaine de mètres pour s'assurer qu'elle est bien centrer et qu'elle ne bouge pas donc après avoir effectué quelques mètres il faut s'assurer que la chaussette et bien centré donc ici c'est le cas ce qu'elle recouvre bien le flanc du pneu alors deux dernières recommandations ne jamais dépasser les 50 km/heure et éviter au maximum de rouler sur le bitume pour éviter les aviez à bientôt sur l'argus point fr il faut toujours équipé les roues motrices mais gardez à l'esprit que votre taux sera déséquilibrée comme vous pouvez le constater [Musique]
282;B8iR7LJ4SIY;Tutoriel barbe a papa;Pour tout savoir sur notre appareil à barbe à papa!;tutoriel;  et voici la machine à barbapapa pour la montée prenez le poêlon et aligner les encoches sur le pignon puis prenez le bol rose et faites glisser ces petits bouts sous les encoches comme ceux ci puis clic c'est le clapet et voilà il faut ensuite faire réchauffer la machine 5 minutes en appuyant sur le bouton une fois que le poêlon est bien chaud prenez la cuillère mettez une dose de sucre au milieu du poêlon en ayant pris soin d'éteindre la machine avant de le faire puis relancer la machine attendez que les premiers finalement se forment et commencer à les récolter sur votre bateau nous vous conseillons dans un premier temps de faire tourner le bâton autour du poêlon puis de le positionner à l'envi total pour récolter la majorité des filaments bref barbe à papa sera grosse pour le nettoyage lavez les pièces en plastique simplement à l'eau et faites tremper le poêlon dans de l'eau chaude
283;k-LQd0uaf18;;"DYKA Fast - Concept unique et déposé -
Solutions pour l'assemblage des tubes et raccords pour l'évacuation des eaux usées dans le bâtiment.";tutoriel;  dajka france fabricant de canalisations en pvc lance un concept novateur pour ses tubes et raccords destinés à l'évacuation des eaux usées dans le bâtiment le deuil qu'à passes faciles à assembler sampras et ce concept unique et déposer facilite la pose des canalisations grâce à la combinaison d'une ligne pointillée sur les tubes et de repères d'angulation sur les raccords bien sûr les tubes et raccords en pvc traditionnel daïka sans certifié selon les plus hauts standards de qualité tout d'abord les tubes pvc sont raddad plus référence sur le marché de la plomberie depuis plus de 20 ans présente une ligne pointillée sur toute leur longueur les raccords quant à eux possède lui robert d'angulation positionner sur la périphérie de laon voiture ils sont espacés entre 2 45 degrés ils sont munis d'une collerette évitant les risques de réalisation dajka veille également à ce que les tolérances dimensionnelles de ces rapports soient ajustés de manière à éviter les montages ses rangs sans ses repères la pratique courante est de faire un montage à blanc puis de tracer au feutre les différents alignement avec cette méthode d'assemblage il subsiste toujours un risque d'effacement des marquages synonyme d' erreur se traduisant par fois par la mise au rebut de l'ensemble après volage en utilisant les tubes et les raccords take a fast votre installation sera facile assemblée sans tracé l'installation se déroule de façon traditionnelle ses repères font toute la différence ils permettent d'assembler tubes et raccords plus facilement et rapidement quelle que soit la longueur de l'installation le concept des cas fast garantit le maintien de la continuité de son tracé dans les trois dimensions dajka fast path il a semblé sans trace est disponible chez vos revendeurs
284;DCs8KgLIng4;Patamuse : Tutoriel - Barry l'éléphant;"Barry casse tout sans le faire exprès.

Patamuse est une série pour les 3-5 ans qui fait le lien entre un conte d’éveil et une activité manuelle. Un narrateur invite le jeune téléspectateur à l’accompagner pour créer et imaginer des animaux en pâte à modeler : les Patamuse. Ces personnages évoluent à travers des histoires originales, tendres, poétiques et pleines d’humour, chaque épisode mettant en scène un personnage qui rencontre une difficulté et qui sera aidé par la Voix pour le résoudre. La Voix est le seul personnage verbal de la série, elle décrypte pour le spectateur ce que les Patamuse veulent dire, tout en instaurant une certaine complicité.";tutoriel;  fabrique baril éléphants pour faire baril éléphants il te faut de la pac grise un peu de rose de la patte blanche et un peu de rouge de la pâte noire sans oublier une spatule en plastique pour couper la patte prend la pâte grise et roule six morceaux dans tes mains pour en faire des boules aplati les quatre premières boules pour les transformer en pastilles avec le bout des doigts et tire le plus gros morceau pour faire le corps pose la deuxième passe t'il plus petit sur le haut du corps pour faire la tête place deux autres pastilles de chaque côté de la tête pour les oreilles tu roules une boule sous ta main pour obtenir un bout d'un assez gros que tu découpe en quatre morceaux pour les pâtes à plate il est un peu roulin dernier boudin avec un côté plus fin qui servira pour la queue et le plus gros morceau pour la trompe [Musique] un petit boudin blanc fin que tu découpera en quatre morceaux lui fera de jolies sandales roule deux petites billes blanches et noires du bout des doigts et aplatit l'est comme des pastilles pour faire les yeux et les pupilles pose de grosses pastilles rose pour l'intérieur des oreilles deux petites pour les joues et une pastille rouge pour qu'ils tirent la langue et voilà temps d'éléphants baril [Musique]
